text,clause_type,label
The contract can be terminated immediately for material breach,Termination,0
Notice period for termination shall be 60 days,Termination,0
"Subject to the terms herein, notice period for termination shall be days",Termination,0
Termination without cause requires 90 days notice,Termination,0
Party can terminate for convenience with prior notice,Termination,0
The parties agree that immediate termination allowed for breach of confidentiality,Termination,0
"For the avoidance of doubt, termination without cause requires 90 days advance notice",Termination,0
"Subject to the herein, immediate termination allowed for breach of confidentiality",Termination,0
Party may terminate for convenience with prior notice,Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
"Subject to the terms herein, party may terminate for convenience with prior notice",Termination,0
TERMINATION WITHOUT CAUSE REQUIRES 90 DAYS ADVANCE NOTICE,Termination,0
Immediate termination for breach of confidentiality,Termination,0
"ending anything to the contrary, termination clause specifies conditions for Notwithstanding the agreement",Termination,0
Party can terminate for convenience with prior,Termination,0
The parties agree that termination clause specifies conditions for ending agreement,Termination,0
Either party can terminate this agreement with 30 days written notice,Termination,0
THE CONTRACT CAN BE TERMINATED IMMEDIATELY FOR MATERIAL BREACH,Termination,0
The parties agree that either party may terminate this agreement with 30 days written notice,Termination,0
"Notwithstanding anything to the 90 termination without cause requires contrary, days advance notice",Termination,0
Either party may terminate this agreement with 30 days written notice,Termination,0
The parties agree that either party may terminate this agreement with 30 days written notice,Termination,0
Either party may terminate this agreement with 30 days written notice,Termination,0
Termination without cause requires 90 advance notice,Termination,0
"Subject to the terms herein, upon termination all obligations cease except payment",Termination,0
Immediate for allowed termination breach of confidentiality,Termination,0
The contract can be terminated immediately for material breach,Termination,0
"Notwithstanding anything to the contrary, immediate termination allowed for breach of confidentiality",Termination,0
"Subject to the terms herein, notice period for termination shall be 60 days",Termination,0
UPON TERMINATION ALL OBLIGATIONS CEASE EXCEPT PAYMENT,Termination,0
The days agree that termination without cause requires 90 parties advance notice,Termination,0
termination without cause requires 90 days advance notice,Termination,0
Either party may terminate this agreement with 30 days written notice,Termination,0
period Notice for termination will be 60 days,Termination,0
"For the agreement of doubt, termination clause specifies conditions for ending the avoidance",Termination,0
Termination without cause requires 90 days advance notice,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
"Subject to the terms herein, period notice for termination shall be 60 days",Termination,0
"Notwithstanding anything to immediate contrary, the termination allowed for breach of confidentiality",Termination,0
notice period for termination shall be 60 days,Termination,0
Termination without cause requires days advance notice,Termination,0
"Notwithstanding anything to the contrary, the contract can be terminated immediately for material breach",Termination,0
"Notwithstanding anything to the contrary, party may terminate for convenience with prior notice",Termination,0
Termination without cause requires 90 days advance notice,Termination,0
"Notwithstanding anything to the contrary, termination clause specifies conditions for ending the agreement",Termination,0
"Subject to the terms herein, immediate termination allowed for breach of confidentiality",Termination,0
"Subject to the terms herein, termination clause specifies conditions for ending agreement",Termination,0
Termination without cause requires 90 days advance notice,Termination,0
"Subject to the terms herein, party may terminate for convenience with prior notice",Termination,0
"For the avoidance of doubt, immediate termination allowed for breach of confidentiality",Termination,0
"Notwithstanding anything to the contrary, either party may terminate this agreement with 30 days written notice",Termination,0
"Subject to the terms herein, the contract can be terminated immediately material breach",Termination,0
"For the avoidance of doubt, termination without cause requires 90 days advance notice",Termination,0
Either party may terminate this agreement with 30 days notice,Termination,0
Termination clause ending conditions for specifies the agreement,Termination,0
"For the avoidance of doubt, notice period for termination shall be 60 days",Termination,0
notice period for termination shall be 60 days,Termination,0
Termination without cause requires 90 days advance notice,Termination,0
It is understood conditions termination clause specifies that for ending the agreement,Termination,0
The parties agree that party may terminate for convenience with prior notice,Termination,0
"Subject to the terms herein, notice period shall termination for be 60 days",Termination,0
It is understood that upon termination all obligations cease except payment,Termination,0
It is understood that termination clause specifies conditions for ending the agreement,Termination,0
It is understood that upon termination all obligations cease except payment,Termination,0
"Subject to the terms herein, party may terminate for convenience with prior notice",Termination,0
"Notwithstanding anything to the contrary, notice period for termination shall be 60 days",Termination,0
"Notwithstanding anything to the contrary, either party may terminate this agreement with 30 days written notice",Termination,0
It is understood that the contract can be terminated immediately for material breach,Termination,0
"Notwithstanding anything to the contrary, termination clause specifies conditions for ending the agreement",Termination,0
"Subject to the terms herein, immediate termination allowed for breach of confidentiality",Termination,0
"Subject to the terms herein, immediate termination allowed for breach of confidentiality",Termination,0
It is understood that notice period for termination shall be 60 days,Termination,0
"Notwithstanding anything to the contrary, immediate termination allowed for breach of confidentiality",Termination,0
"Notwithstanding anything to ending contrary, termination clause specifies conditions for the the agreement",Termination,0
Party may terminate for convenience with prior notice,Termination,0
Termination specifies conditions for ending the agreement,Termination,0
"Notwithstanding anything the contrary, party may terminate for convenience with prior notice",Termination,0
The parties agree that termination without cause requires 90 days advance notice,Termination,0
IMMEDIATE TERMINATION ALLOWED FOR BREACH OF CONFIDENTIALITY,Termination,0
"For the avoidance of doubt, termination clause specifies conditions for ending the agreement",Termination,0
"For the avoidance of doubt, immediate termination allowed for breach of confidentiality",Termination,0
It is understood that may terminate for convenience with prior notice,Termination,0
either party may terminate this agreement with 30 notice written days,Termination,0
Notice period for termination shall be 60 days,Termination,0
Notice period for termination will be 60 days,Termination,0
Party can terminate for convenience with prior notice,Termination,0
THE CONTRACT CAN BE TERMINATED IMMEDIATELY FOR MATERIAL BREACH,Termination,0
The written agree that either party may terminate this agreement with 30 days parties notice,Termination,0
Immediate termination allowed for breach confidentiality,Termination,0
"For the avoidance of doubt, termination clause specifies conditions for ending the agreement",Termination,0
for clause specifies conditions Termination ending the agreement,Termination,0
The parties agree that party may terminate for convenience with notice prior,Termination,0
Party may terminate for convenience with prior notice,Termination,0
agreement is understood that either party may terminate this It with 30 days written notice,Termination,0
Termination without cause requires 90 days advance notice,Termination,0
"For the avoidance doubt, immediate termination allowed for breach of confidentiality",Termination,0
It is understood that the contract can be terminated immediately for material breach,Termination,0
"Subject to the terms herein, termination clause specifies conditions for ending the agreement",Termination,0
"For the avoidance of doubt, notice period for shall be 60 days",Termination,0
Subject to the terms termination without cause requires 90 days advance notice,Termination,0
Either party may terminate this agreement with 30 days written notice,Termination,0
either party may terminate this agreement with 30 days written notice,Termination,0
"For the avoidance of doubt, the contract can be terminated immediately for material breach",Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
"Notwithstanding anything to the contrary, notice period for termination shall be 60 days",Termination,0
PARTY MAY TERMINATE FOR CONVENIENCE WITH PRIOR,Termination,0
The parties agree that party may terminate for convenience with prior notice,Termination,0
The parties agree that upon termination all obligations cease except payment,Termination,0
Termination without cause requires 90 days advance notice,Termination,0
"For the avoidance of doubt, termination without cause requires 90 days advance notice",Termination,0
The contract can be terminated immediately for material breach,Termination,0
TERMINATION CLAUSE SPECIFIES CONDITIONS FOR ENDING THE AGREEMENT,Termination,0
Either party may terminate with agreement this 30 days written notice,Termination,0
The contract can be terminated immediately for material breach,Termination,0
Upon termination all obligations cease except payment,Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
The parties agree that notice period for termination shall be 60 days,Termination,0
Party can terminate for convenience prior with notice,Termination,0
The contract can be immediately for material breach,Termination,0
The parties that agree either party may terminate this agreement with 30 days written notice,Termination,0
The contract can be terminated immediately for material breach,Termination,0
Upon all obligations cease except payment,Termination,0
TERMINATION WITHOUT CAUSE REQUIRES 90 DAYS ADVANCE NOTICE,Termination,0
The parties agree that termination clause specifies conditions for ending the agreement,Termination,0
PARTY MAY TERMINATE FOR CONVENIENCE WITH PRIOR NOTICE,Termination,0
Party can terminate for convenience with prior notice,Termination,0
It is understood that immediate termination allowed for breach of confidentiality,Termination,0
"For the avoidance of doubt, termination clause specifies conditions for ending the agreement",Termination,0
termination Upon all obligations cease except payment,Termination,0
"For the avoidance of doubt, party may terminate for convenience prior notice",Termination,0
Party can terminate for convenience with prior notice,Termination,0
Party may terminate convenience with prior notice,Termination,0
Either party may this agreement with 30 days written notice,Termination,0
Immediate termination breach for allowed of confidentiality,Termination,0
The contract can be terminated immediately material breach,Termination,0
"For the avoidance of doubt, either party may terminate this agreement with 30 days written notice",Termination,0
"For the avoidance of doubt, notice period for termination shall be days",Termination,0
PARTY MAY TERMINATE FOR CONVENIENCE WITH PRIOR NOTICE,Termination,0
TERMINATION CLAUSE SPECIFIES CONDITIONS FOR ENDING THE AGREEMENT,Termination,0
"Subject to the terms herein, notice period for termination shall be 60 days",Termination,0
"For the avoidance of doubt, termination clause specifies conditions for ending the agreement",Termination,0
"Subject to the terms herein, immediate termination allowed for breach of confidentiality",Termination,0
The contract be can terminated immediately for material breach,Termination,0
party may terminate for convenience with prior notice,Termination,0
The contract can be terminated immediately for material,Termination,0
It is understood that notice period for termination shall be 60 days,Termination,0
The parties agree that the contract can be terminated immediately for material breach,Termination,0
The contract can be terminated immediately for material breach,Termination,0
Party convenience terminate for may with prior notice,Termination,0
The parties agree that be period for termination shall notice 60 days,Termination,0
either party may this agreement with 30 days written notice,Termination,0
Either party can terminate this agreement with days written notice,Termination,0
"Subject to the terms herein, immediate termination allowed for breach of confidentiality",Termination,0
"Notwithstanding anything to the contrary, without cause requires 90 days advance notice",Termination,0
"Notwithstanding anything to the contrary, notice period for termination shall be 60 days",Termination,0
"Subject to for terms herein, the contract can be terminated immediately the material breach",Termination,0
Either party may terminate this agreement with 30 days written notice,Termination,0
It is understood prior party may terminate for convenience with that notice,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
UPON TERMINATION ALL OBLIGATIONS CEASE EXCEPT PAYMENT,Termination,0
termination without cause requires 90 days advance notice,Termination,0
Either party may terminate this agreement with 30 days written notice,Termination,0
"Subject to the terms herein, either party may terminate this agreement with 30 days written notice",Termination,0
"Subject to the terms except upon termination all obligations cease herein, payment",Termination,0
It is understood that notice period for termination shall be 60 days,Termination,0
NOTICE PERIOD FOR TERMINATION SHALL BE 60 DAYS,Termination,0
The parties agree that party may terminate for convenience with prior notice,Termination,0
THE CONTRACT CAN BE TERMINATED IMMEDIATELY FOR MATERIAL BREACH,Termination,0
Either party can terminate with agreement this 30 days written notice,Termination,0
EITHER 30 MAY TERMINATE THIS AGREEMENT WITH PARTY DAYS WRITTEN NOTICE,Termination,0
It is understood that termination clause specifies conditions for ending the agreement,Termination,0
Upon termination all cease except payment,Termination,0
Either party may terminate this agreement with 30 days written notice,Termination,0
Upon termination all obligations cease except payment,Termination,0
immediate termination allowed for breach of confidentiality,Termination,0
Notice period for termination will be 60 days,Termination,0
UPON TERMINATION ALL OBLIGATIONS CEASE EXCEPT PAYMENT,Termination,0
Notice period for termination shall be 60 days,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
It is understood that party may terminate for convenience with prior notice,Termination,0
be contract can the terminated immediately for material breach,Termination,0
TERMINATION CLAUSE SPECIFIES CONDITIONS FOR ENDING THE AGREEMENT,Termination,0
"Subject to the terms herein, immediate termination allowed for breach of confidentiality",Termination,0
Upon termination all obligations cease except payment,Termination,0
THE CONTRACT CAN BE TERMINATED IMMEDIATELY FOR BREACH,Termination,0
Upon termination all obligations cease except payment,Termination,0
The parties agree that party may terminate for convenience with prior notice,Termination,0
Party may terminate for convenience with prior notice,Termination,0
It is understood that either party may terminate this agreement with 30 days written notice,Termination,0
TERMINATION ADVANCE CAUSE REQUIRES 90 DAYS WITHOUT NOTICE,Termination,0
"Notwithstanding anything to the contrary, without cause requires 90 days advance notice",Termination,0
Party may terminate for convenience with prior notice,Termination,0
It is understood that party may terminate for convenience with prior notice,Termination,0
Upon termination all obligations cease except payment,Termination,0
It is understood that party may terminate for convenience with prior notice,Termination,0
The parties agree that notice period for termination shall be 60 days,Termination,0
"Subject to the terms herein, upon termination all obligations payment except cease",Termination,0
"For the avoidance of doubt, either party may terminate this agreement with 30 days written notice",Termination,0
"Subject to the terms herein, immediate termination allowed for breach of confidentiality",Termination,0
The parties agree notice period for termination shall be 60 days,Termination,0
"For the avoidance of doubt, termination without cause requires 90 days advance notice",Termination,0
"Notwithstanding anything to the contrary, immediate termination allowed for breach of confidentiality",Termination,0
termination without cause requires 90 days advance notice,Termination,0
EITHER PARTY MAY TERMINATE THIS AGREEMENT WITH 30 DAYS WRITTEN NOTICE,Termination,0
"For the avoidance of doubt, upon termination all obligations cease except payment",Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
Party can terminate for convenience with prior notice,Termination,0
"Notwithstanding anything to the contrary, the contract can be terminated immediately for material breach",Termination,0
"Notwithstanding anything to the contrary, the contract can be terminated immediately for material breach",Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
It is understood that termination without cause requires 90 days advance notice,Termination,0
Notice period for termination shall be 60 days,Termination,0
all termination Upon obligations cease except payment,Termination,0
The parties agree that party may terminate for convenience with prior notice,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
"For the avoidance of doubt, termination clause specifies conditions for ending the agreement",Termination,0
"to the terms herein, termination without cause requires 90 days advance notice",Termination,0
The parties agree that may terminate for convenience with prior notice,Termination,0
"Subject to the terms herein, either party terminate this agreement with 30 days written notice",Termination,0
Immediate allowed for breach of confidentiality,Termination,0
It is understood that either party may terminate this agreement with 30 days written notice,Termination,0
The contract can be terminated immediately for material breach,Termination,0
It is understood that the contract can be terminated immediately for material breach,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
IMMEDIATE TERMINATION ALLOWED FOR BREACH OF CONFIDENTIALITY,Termination,0
EITHER PARTY MAY TERMINATE THIS AGREEMENT WITH 30 DAYS WRITTEN NOTICE,Termination,0
"For the avoidance of doubt, party may terminate for convenience with prior notice",Termination,0
Termination requires cause without 90 days advance notice,Termination,0
Notice period for termination shall be 60 days,Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
It is understood that either party may terminate this agreement with 30 days written notice,Termination,0
"Notwithstanding anything to the contrary, notice period for termination shall be 60 days",Termination,0
It is understood that notice be for termination shall period 60 days,Termination,0
The parties agree that the contract can be terminated immediately for material breach,Termination,0
TERMINATION CLAUSE SPECIFIES CONDITIONS FOR ENDING THE AGREEMENT,Termination,0
either party may terminate this agreement with 30 days written notice,Termination,0
the contract can be terminated immediately for material breach,Termination,0
"Notwithstanding anything to the contrary, the contract can be terminated immediately for material breach",Termination,0
"Notwithstanding anything to the contrary, the contract can be terminated immediately for material breach",Termination,0
Party can terminate for convenience with prior notice,Termination,0
"Notwithstanding anything to the contrary, termination clause specifies conditions for ending agreement",Termination,0
"Subject to the terms of immediate termination allowed for breach herein, confidentiality",Termination,0
Either party can 30 this agreement with terminate days written notice,Termination,0
It is understood that notice period for termination shall be 60 days,Termination,0
Immediate termination allowed for breach of confidentiality,Termination,0
It is understood that termination without cause requires 90 days advance notice,Termination,0
Party may for convenience with prior notice,Termination,0
either party may terminate this agreement with 30 days written notice,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
Termination clause specifies conditions for ending the agreement,Termination,0
The parties agree that party may terminate for convenience with prior notice,Termination,0
"For the avoidance of doubt, notice period for termination be 60 days",Termination,0
"Notwithstanding anything to the contrary, immediate termination allowed for breach of confidentiality",Termination,0
either party may terminate this agreement 30 days written notice,Termination,0
"Notwithstanding anything to the contrary, upon termination all obligations cease except payment",Termination,0
Termination without cause requires 90 days advance notice,Termination,0
